,b,c,e,f,g,h,i,m,n
369,YCKH3978,Punjab,Bhatinda,Bathinda,Bathinda,Bathinda#Bhatinda,A,Bathinda (Bathinda),Bathinda (Bathinda)
370,NPLJ2416,Punjab,Bhatinda,Rampura Phul,Bhagta Bhai Ka,Bhagta Bhai Ka#Bhatinda,A,Bhagta Bhai Ka (Rampura Phul),Rampura Phul (Bhagta Bhai Ka)
371,RDCX7914,Punjab,Bhatinda,Bathinda Sub-District,Bhucho,Bhucho#Bhatinda,A,Bhucho (Bathinda Sub-District),Bathinda Sub-District (Bhucho)
372,HQZO7102,Punjab,Bhatinda,Talwandi Sabo,Maur,Maur#Bhatinda,A,Maur (Talwandi Sabo),Talwandi Sabo (Maur)
373,AGVW2740,Punjab,Bhatinda,Talwandi Sabo,Raman,Raman#Bhatinda,A,Raman (Talwandi Sabo),Talwandi Sabo (Raman)
374,QGPR2075,Punjab,Bhatinda,Rampura Phul,Rampura Phul,Rampura Phul#Bhatinda,A,Rampura Phul (Rampura Phul),Rampura Phul (Rampura Phul)
375,IYOY7014,Punjab,Bhatinda,Rampura Phul,Rampuraphul(Nabha Mandi),Rampuraphul(Nabha Mandi)#Bhatinda,A,Rampuraphul(Nabha Mandi) (Rampura Phul),Rampura Phul (Rampuraphul(Nabha Mandi))
376,YUAB9644,Punjab,Bhatinda,Bathinda Sub-District,Sangat,Sangat#Bhatinda,A,Sangat (Bathinda Sub-District),Bathinda Sub-District (Sangat)
377,YQCQ1393,Punjab,Bhatinda,Talwandi Sabo,Talwandi Sabo,Talwandi Sabo#Bhatinda,A,Talwandi Sabo (Talwandi Sabo),Talwandi Sabo (Talwandi Sabo)
378,OTVY9846,Punjab,Faridkot,Kot Kapura,Faridkot,Faridkot#Faridkot,A,Faridkot (Kot Kapura),Kot Kapura (Faridkot)
379,IWUD5748,Punjab,Faridkot,Kot Kapura,Kotkapura,Kotkapura#Faridkot,A,Kotkapura (Kot Kapura),Kot Kapura (Kotkapura)
380,PILU6232,Punjab,Faridkot,Faridkot Sub-District,Sadiq,Sadiq#Faridkot,A,Sadiq (Faridkot Sub-District),Faridkot Sub-District (Sadiq)
381,QFXY1671,Punjab,Fatehgarh,Bassi Pathana,Bassi Pathana,Bassi Pathana#Fatehgarh,A,Bassi Pathana (Bassi Pathana),Bassi Pathana (Bassi Pathana)
382,RQXK2378,Punjab,Fatehgarh,Sirhind Fatehgarh Sahib,Sirhind,Sirhind#Fatehgarh,A,Sirhind (Sirhind Fatehgarh Sahib),Sirhind Fatehgarh Sahib (Sirhind)
383,TSXS5290,Punjab,Fazilka,Abohar,Abohar,Abohar#Fazilka,A,Abohar (Abohar),Abohar (Abohar)
384,DFZB9583,Punjab,Fazilka,Fazilka,Fazilka,Fazilka#Fazilka,A,Fazilka (Fazilka),Fazilka (Fazilka)
385,JDMW1751,Punjab,Fazilka,Fazilka Sub-District,Fazilka (Ladhuka),Fazilka (Ladhuka)#Fazilka,A,Fazilka (Ladhuka) (Fazilka Sub-District),Fazilka Sub-District (Fazilka (Ladhuka))
386,QDVS5120,Punjab,Fazilka,Jalalabad,Jalalabad,Jalalabad#Fazilka,A,Jalalabad (Jalalabad),Jalalabad (Jalalabad)
387,FVEQ5735,Punjab,Ferozpur,Firozepur,Ferozepur Cantt.,Ferozepur Cantt.#Ferozpur,A,Ferozepur Cantt. (Firozepur),Firozepur (Ferozepur Cantt.)
388,GFQJ6934,Punjab,Ferozpur,Firozepur,Firozepur City,Firozepur City#Ferozpur,A,Firozepur City (Firozepur),Firozepur (Firozepur City)
389,XVTE2772,Punjab,Ferozpur,Guru Har Sahai,Guru Har Sahai,Guru Har Sahai#Ferozpur,A,Guru Har Sahai (Guru Har Sahai),Guru Har Sahai (Guru Har Sahai)
390,OUTT5537,Punjab,Ferozpur,Zira,Makhu,Makhu#Ferozpur,A,Makhu (Zira),Zira (Makhu)
391,ESUX3186,Punjab,Ferozpur,Firozepur Sub-District,Mamdot,Mamdot#Ferozpur,A,Mamdot (Firozepur Sub-District),Firozepur Sub-District (Mamdot)
392,FXZL8328,Punjab,Ferozpur,Firozepur Sub-District,Mamdot(Tibbi Khurd),Mamdot(Tibbi Khurd)#Ferozpur,A,Mamdot(Tibbi Khurd) (Firozepur Sub-District),Firozepur Sub-District (Mamdot(Tibbi Khurd))
393,ILDF6723,Punjab,Ferozpur,Zira,Zira,Zira#Ferozpur,A,Zira (Zira),Zira (Zira)
394,PTFX9693,Punjab,Gurdaspur,Batala,Batala,Batala#Gurdaspur,A,Batala (Batala),Batala (Batala)
395,QXPM8977,Punjab,Gurdaspur,Gurdaspur Sub-District,Dinanagar,Dinanagar#Gurdaspur,A,Dinanagar (Gurdaspur Sub-District),Gurdaspur Sub-District (Dinanagar)
396,NPEK6236,Punjab,Gurdaspur,Batala Sub-District,F.G.Churian,F.G.Churian#Gurdaspur,A,F.G.Churian (Batala Sub-District),Batala Sub-District (F.G.Churian)
397,KBGH9171,Punjab,Gurdaspur,Gurdaspur,Gurdaspur,Gurdaspur#Gurdaspur,A,Gurdaspur (Gurdaspur),Gurdaspur (Gurdaspur)
398,ELGK9001,Punjab,Gurdaspur,Qadian,Quadian,Quadian#Gurdaspur,A,Quadian (Qadian),Qadian (Quadian)
399,ZTBX9486,Punjab,Hoshiarpur,Dasua,Dasuya,Dasuya#Hoshiarpur,A,Dasuya (Dasua),Dasua (Dasuya)
400,XPIE7663,Punjab,Hoshiarpur,Garhshankar,Garh Shankar,Garh Shankar#Hoshiarpur,A,Garh Shankar (Garhshankar),Garhshankar (Garh Shankar)
401,BHFP9526,Punjab,Hoshiarpur,Garhshankar,Garh Shankar(Mahalpur),Garh Shankar(Mahalpur)#Hoshiarpur,A,Garh Shankar(Mahalpur) (Garhshankar),Garhshankar (Garh Shankar(Mahalpur))
402,CKIX8559,Punjab,Hoshiarpur,Hoshiarpur,Hoshiarpur,Hoshiarpur#Hoshiarpur,A,Hoshiarpur (Hoshiarpur),Hoshiarpur (Hoshiarpur)
403,UEDP7151,Punjab,Hoshiarpur,Mukerian,Mukerian,Mukerian#Hoshiarpur,A,Mukerian (Mukerian),Mukerian (Mukerian)
404,RSPL9337,Punjab,Hoshiarpur,Mukerian,Mukerian(Talwara),Mukerian(Talwara)#Hoshiarpur,A,Mukerian(Talwara) (Mukerian),Mukerian (Mukerian(Talwara))
405,EJJM7984,Punjab,Hoshiarpur,Dasua Sub-District,Tanda Urmur,Tanda Urmur#Hoshiarpur,A,Tanda Urmur (Dasua Sub-District),Dasua Sub-District (Tanda Urmur)
406,KOFY9602,Punjab,Jalandhar,Adampur,Adampur,Adampur#Jalandhar,A,Adampur (Adampur),Adampur (Adampur)
407,YGTR2465,Punjab,Jalandhar,Phillaur,Goraya,Goraya#Jalandhar,A,Goraya (Phillaur),Phillaur (Goraya)
408,LGKU1898,Punjab,Jalandhar,Jalandhar,Jalandhar City,Jalandhar City#Jalandhar,A,Jalandhar City (Jalandhar),Jalandhar (Jalandhar City)
409,AGAT5609,Punjab,Jalandhar,Jalandhar,Jalandhar City(Jalandhar),Jalandhar City(Jalandhar)#Jalandhar,A,Jalandhar City(Jalandhar) (Jalandhar),Jalandhar (Jalandhar City(Jalandhar))
410,ZBTG7333,Punjab,Jalandhar,Nakodar,Nakodar,Nakodar#Jalandhar,A,Nakodar (Nakodar),Nakodar (Nakodar)
411,QAYC3532,Punjab,Jalandhar,Shahkot,Shahkot,Shahkot#Jalandhar,A,Shahkot (Shahkot),Shahkot (Shahkot)
412,TGJW4710,Punjab,Ludhiana,Jagraon,Jagraon,Jagraon#Ludhiana,A,Jagraon (Jagraon),Jagraon (Jagraon)
413,LRZK5644,Punjab,Ludhiana,Khanna,Khanna,Khanna#Ludhiana,A,Khanna (Khanna),Khanna (Khanna)
414,UCZN2890,Punjab,Ludhiana,Ludhiana,Ludhiana,Ludhiana#Ludhiana,A,Ludhiana (Ludhiana),Ludhiana (Ludhiana)
415,HQXV8848,Punjab,Ludhiana,Samrala,Machhiwara,Machhiwara#Ludhiana,A,Machhiwara (Samrala),Samrala (Machhiwara)
416,YPUU5215,Punjab,Ludhiana,Raikot,Raikot,Raikot#Ludhiana,A,Raikot (Raikot),Raikot (Raikot)
417,AXVP5032,Punjab,Ludhiana,Ludhiana (East) Sub-District,Sahnewal,Sahnewal#Ludhiana,A,Sahnewal (Ludhiana (East) Sub-District),Ludhiana (East) Sub-District (Sahnewal)
418,NNRH6900,Punjab,Mansa,Mansa Sub-District,Bhikhi,Bhikhi#Mansa,A,Bhikhi (Mansa Sub-District),Mansa Sub-District (Bhikhi)
419,LPKA6362,Punjab,Mansa,Budhlada,Budalada,Budalada#Mansa,A,Budalada (Budhlada),Budhlada (Budalada)
420,ILQL3257,Punjab,Mansa,Mansa,Mansa,Mansa#Mansa,A,Mansa (Mansa),Mansa (Mansa)
421,WORC8030,Punjab,Mansa,Sardulgarh,Sardulgarh,Sardulgarh#Mansa,A,Sardulgarh (Sardulgarh),Sardulgarh (Sardulgarh)
422,PKYC3596,Punjab,Moga,Bhagha Purana,Baghapurana,Baghapurana#Moga,A,Baghapurana (Bhagha Purana),Bhagha Purana (Baghapurana)
423,OOMD7743,Punjab,Moga,Moga Sub-District,Dharamkot,Dharamkot#Moga,A,Dharamkot (Moga Sub-District),Moga Sub-District (Dharamkot)
424,BDZT1123,Punjab,Moga,Moga Sub-District,Kot ise Khan,Kot ise Khan#Moga,A,Kot ise Khan (Moga Sub-District),Moga Sub-District (Kot ise Khan)
425,AWNO9131,Punjab,Moga,Moga,Moga,Moga#Moga,A,Moga (Moga),Moga (Moga)
426,BFBY6923,Punjab,Moga,Nihal Singhwala,Nihal Singh Wala,Nihal Singh Wala#Moga,A,Nihal Singh Wala (Nihal Singhwala),Nihal Singhwala (Nihal Singh Wala)
427,NMFW8264,Punjab,Mohali,Rajpura Sub-District,Banur,Banur#Mohali,A,Banur (Rajpura Sub-District),Rajpura Sub-District (Banur)
428,TMGK7080,Punjab,Mohali,Kharar,Kharar,Kharar#Mohali,A,Kharar (Kharar),Kharar (Kharar)
429,OOLF5936,Punjab,Mohali,Kharar Sub-District,Kurali,Kurali#Mohali,A,Kurali (Kharar Sub-District),Kharar Sub-District (Kurali)
430,VPKZ3282,Punjab,Mohali,Derabassi Sub-District,Lalru,Lalru#Mohali,A,Lalru (Derabassi Sub-District),Derabassi Sub-District (Lalru)
431,FBFH4418,Punjab,Muktsar,Muktsar Sub-District,Bariwala,Bariwala#Muktsar,A,Bariwala (Muktsar Sub-District),Muktsar Sub-District (Bariwala)
432,KKRS1186,Punjab,Muktsar,Gidderbaha,Giddarbaha,Giddarbaha#Muktsar,A,Giddarbaha (Gidderbaha),Gidderbaha (Giddarbaha)
433,KTXI9670,Punjab,Muktsar,Malout,Malout,Malout#Muktsar,A,Malout (Malout),Malout (Malout)
434,MKKX2219,Punjab,Muktsar,Malout,Malout (Panniwala),Malout (Panniwala)#Muktsar,A,Malout (Panniwala) (Malout),Malout (Malout (Panniwala))
435,GKNX3570,Punjab,Muktsar,Muktsar,Muktsar,Muktsar#Muktsar,A,Muktsar (Muktsar),Muktsar (Muktsar)
436,BDLI2905,Punjab,Nawanshahr,Balachaur,Balachaur,Balachaur#Nawanshahr,A,Balachaur (Balachaur),Balachaur (Balachaur)
437,NSJK8989,Punjab,Nawanshahr,Nawanshahr Sub-District,Banga,Banga#Nawanshahr,A,Banga (Nawanshahr Sub-District),Nawanshahr Sub-District (Banga)
438,VFPA8606,Punjab,Nawanshahr,Nawanshahr,Nawan Shahar(Subzi Mandi),Nawan Shahar(Subzi Mandi)#Nawanshahr,A,Nawan Shahar(Subzi Mandi) (Nawanshahr),Nawanshahr (Nawan Shahar(Subzi Mandi))
439,EXHK3546,Punjab,Nawanshahr,Nawanshahr,Nawanshahar,Nawanshahar#Nawanshahr,A,Nawanshahar (Nawanshahr),Nawanshahr (Nawanshahar)
440,TJKP2395,Punjab,Pathankot,Pathankot Sub-District,Narot J Singh,Narot J Singh#Pathankot,A,Narot J Singh (Pathankot Sub-District),Pathankot Sub-District (Narot J Singh)
441,KAZF6759,Punjab,Pathankot,Pathankot,Pathankot,Pathankot#Pathankot,A,Pathankot (Pathankot),Pathankot (Pathankot)
442,APZY2383,Punjab,Patiala,Patiala Sub-District,Dudhansadhan,Dudhansadhan#Patiala,A,Dudhansadhan (Patiala Sub-District),Patiala Sub-District (Dudhansadhan)
443,YLAN4030,Punjab,Patiala,Rajpura Sub-District,Ghanaur,Ghanaur#Patiala,A,Ghanaur (Rajpura Sub-District),Rajpura Sub-District (Ghanaur)
444,JPXL5744,Punjab,Patiala,Nabha,Nabha,Nabha#Patiala,A,Nabha (Nabha),Nabha (Nabha)
445,XXLM5134,Punjab,Patiala,Patiala,Patiala,Patiala#Patiala,A,Patiala (Patiala),Patiala (Patiala)
446,IOYT5640,Punjab,Patiala,Rajpura,Rajpura,Rajpura#Patiala,A,Rajpura (Rajpura),Rajpura (Rajpura)
447,NNOT4417,Punjab,Patiala,Samana,Samana,Samana#Patiala,A,Samana (Samana),Samana (Samana)
448,VUTI3378,Punjab,Ropar (Rupnagar),Anandpur Sahib,Anandpur Sahib,Anandpur Sahib#Ropar (Rupnagar),A,Anandpur Sahib (Anandpur Sahib),Anandpur Sahib (Anandpur Sahib)
449,PNCN7483,Punjab,Ropar (Rupnagar),Chamkaur Sahib,Chamkaur Sahib,Chamkaur Sahib#Ropar (Rupnagar),A,Chamkaur Sahib (Chamkaur Sahib),Chamkaur Sahib (Chamkaur Sahib)
450,QFRP3018,Punjab,Ropar (Rupnagar),Chamkaur Sahib,Morinda,Morinda#Ropar (Rupnagar),A,Morinda (Chamkaur Sahib),Chamkaur Sahib (Morinda)
451,MHQR5035,Punjab,Ropar (Rupnagar),Rupnagar,Ropar,Ropar#Ropar (Rupnagar),A,Ropar (Rupnagar),Rupnagar (Ropar)
452,SBRV7865,Punjab,Sangrur,Malerkotla Sub-District,Amargarh,Amargarh#Sangrur,A,Amargarh (Malerkotla Sub-District),Malerkotla Sub-District (Amargarh)
453,HHCI6871,Punjab,Sangrur,Sangrur Sub-District,Bhawanigarh,Bhawanigarh#Sangrur,A,Bhawanigarh (Sangrur Sub-District),Sangrur Sub-District (Bhawanigarh)
454,QPDE3524,Punjab,Sangrur,Dhuri,Dhuri,Dhuri#Sangrur,A,Dhuri (Dhuri),Dhuri (Dhuri)
455,HIGU5212,Punjab,Sangrur,Moonak,Khanauri,Khanauri#Sangrur,A,Khanauri (Moonak),Moonak (Khanauri)
456,UJIN5473,Punjab,Sangrur,Sunam Sub-District,Lehra Gaga,Lehra Gaga#Sangrur,A,Lehra Gaga (Sunam Sub-District),Sunam Sub-District (Lehra Gaga)
457,JYIW9184,Punjab,Sangrur,Malerkotla,Malerkotla,Malerkotla#Sangrur,A,Malerkotla (Malerkotla),Malerkotla (Malerkotla)
458,LODI3875,Punjab,Sangrur,Moonak,Moonak,Moonak#Sangrur,A,Moonak (Moonak),Moonak (Moonak)
459,WBUR8728,Punjab,Sangrur,Sangrur,Sangrur,Sangrur#Sangrur,A,Sangrur (Sangrur),Sangrur (Sangrur)
460,HMZW7866,Punjab,Sangrur,Sunam,Sunam,Sunam#Sangrur,A,Sunam (Sunam),Sunam (Sunam)
461,WSBI7736,Punjab,Tarntaran,Patti,Patti,Patti#Tarntaran,A,Patti (Patti),Patti (Patti)
462,ELGO7957,Punjab,kapurthala,Phagwara,Phagwara,Phagwara#kapurthala,A,Phagwara (Phagwara),Phagwara (Phagwara)
463,JALK9889,Punjab,kapurthala,Sultanpur Lodhi,Sultanpur,Sultanpur#kapurthala,A,Sultanpur (Sultanpur Lodhi),Sultanpur Lodhi (Sultanpur)
464,PKGP9064,9,Ajmer,Ajmer,Ajmer (Grain),Ajmer (Grain)#Ajmer,A,Ajmer (Grain) (Ajmer),Ajmer (Ajmer (Grain))
465,PANP6153,9,Ajmer,Ajmer,Ajmer(F&V),Ajmer(F&V)#Ajmer,A,Ajmer(F&V) (Ajmer),Ajmer (Ajmer(F&V))
466,PXQT4115,9,Ajmer,Bijainagar,Bijay Nagar,Bijay Nagar#Ajmer,A,Bijay Nagar (Bijainagar),Bijainagar (Bijay Nagar)
467,PMRL4466,9,Alwar,Alwar,Alwar,Alwar#Alwar,A,Alwar (Alwar),Alwar (Alwar)
468,VMMP9142,9,Alwar,Alwar,Alwar(FV),Alwar(FV)#Alwar,A,Alwar(FV) (Alwar),Alwar (Alwar(FV))
469,QQGD3993,9,Bikaner,Bikaner,Bikaner(F&V),Bikaner(F&V)#Bikaner,A,Bikaner(F&V) (Bikaner),Bikaner (Bikaner(F&V))
470,BXVD7602,9,Chittorgarh,Chittaurgarh,Chittorgarh,Chittorgarh#Chittorgarh,A,Chittorgarh (Chittaurgarh),Chittaurgarh (Chittorgarh)
471,LFAE2286,9,Chittorgarh,Pratapgarh,Pratapgarh,Pratapgarh#Chittorgarh,A,Pratapgarh (Pratapgarh),Pratapgarh (Pratapgarh)
472,ZUAW9575,9,Ganganagar,Sriganganagar,Sriganganagar(F&V),Sriganganagar(F&V)#Ganganagar,A,Sriganganagar(F&V) (Sriganganagar),Sriganganagar (Sriganganagar(F&V))
473,UCLV7867,9,Jaipur,Jaipur,Jaipur(F&V),Jaipur(F&V)#Jaipur,A,Jaipur(F&V) (Jaipur),Jaipur (Jaipur(F&V))
474,NVZT7781,9,Jalore,Sayla,Jalore,Jalore#Jalore,A,Jalore (Sayla),Sayla (Jalore)
475,THFU8351,9,Jodhpur,Jodhpur,Jodhpur(F&V)(Bhadwasia),Jodhpur(F&V)(Bhadwasia)#Jodhpur,A,Jodhpur(F&V)(Bhadwasia) (Jodhpur),Jodhpur (Jodhpur(F&V)(Bhadwasia))
476,AEML3104,9,Kota,Kota,Kota (FV),Kota (FV)#Kota,A,Kota (FV) (Kota),Kota (Kota (FV))
477,NKWY5142,9,Nagaur,Nagaur,Nagaur,Nagaur#Nagaur,A,Nagaur (Nagaur),Nagaur (Nagaur)
478,GWXA6061,9,Nagaur,Nagaur,Nagour(FV),Nagour(FV)#Nagaur,A,Nagour(FV) (Nagaur),Nagaur (Nagour(FV))
479,OWCF4088,9,Pali,Pali,Pali,Pali#Pali,A,Pali (Pali),Pali (Pali)
480,OILA1637,9,Sikar,Fatehpur,Fatehpur,Fatehpur#Sikar,A,Fatehpur (Fatehpur),Fatehpur (Fatehpur)
481,FFSP5845,9,Udaipur,Udaipur,Udaipur(F&V),Udaipur(F&V)#Udaipur,A,Udaipur(F&V) (Udaipur),Udaipur (Udaipur(F&V))
482,NDHG5742,20,Chennai,Chennai,Koyambedu,Koyambedu#Chennai,A,Koyambedu (Chennai),Chennai (Koyambedu)
483,ZZSD1219,20,Kancheepuram,Maduranthakam,Acharapakkam,Acharapakkam#Kancheepuram,A,Acharapakkam (Maduranthakam),Maduranthakam (Acharapakkam)
484,IRZW6738,20,Nagercoil (Kannyiakumari),Nagercoil,Monday Market,Monday Market#Nagercoil (Kannyiakumari),A,Monday Market (Nagercoil),Nagercoil (Monday Market)
485,IMGX7196,20,Vellore,Katpadi,Katpadi(Uzhavar Santhai),Katpadi(Uzhavar Santhai)#Vellore,A,Katpadi(Uzhavar Santhai) (Katpadi),Katpadi (Katpadi(Uzhavar Santhai))
486,XEOV1725,22,Adilabad,Adilabad,Adilabad,Adilabad#Adilabad,A,Adilabad (Adilabad),Adilabad (Adilabad)
487,GTPO5477,22,Hyderabad,Hyderabad,Gaddiannaram,Gaddiannaram#Hyderabad,A,Gaddiannaram (Hyderabad),Hyderabad (Gaddiannaram)
488,MMUC7549,22,Nizamabad,Bodhan Sub-District,Bodhan,Bodhan#Nizamabad,A,Bodhan (Bodhan Sub-District),Bodhan Sub-District (Bodhan)
489,XNIQ5569,17,Dhalai,Dumburnagar,Gandacharra,Gandacharra#Dhalai,A,Gandacharra (Dumburnagar),Dumburnagar (Gandacharra)
490,IFWT5213,17,Khowai,Kalyanpur,Kalyanpur,Kalyanpur#Khowai,A,Kalyanpur (Kalyanpur),Kalyanpur (Kalyanpur)
491,LMVU4686,17,Khowai,Teliamura,Teliamura,Teliamura#Khowai,A,Teliamura (Teliamura),Teliamura (Teliamura)
492,DSKE6233,17,South District,Amarpur,Barpathari,Barpathari#South District,A,Barpathari (Amarpur),Amarpur (Barpathari)
493,SCWY2705,17,West District,Jirania,Champaknagar,Champaknagar#West District,A,Champaknagar (Jirania),Jirania (Champaknagar)
494,GHGE9587,1,Agra,Agra,Agra,Agra#Agra,A,Agra (Agra),Agra (Agra)
495,QCNC4665,1,Agra,Fatehabad,Fatehabad,Fatehabad#Agra,A,Fatehabad (Fatehabad),Fatehabad (Fatehabad)
496,MUHK7246,1,Agra,Fatehpur Sikri,Fatehpur Sikri,Fatehpur Sikri#Agra,A,Fatehpur Sikri (Fatehpur Sikri),Fatehpur Sikri (Fatehpur Sikri)
497,KMDG8210,1,Agra,Kheragarh,Jagnair,Jagnair#Agra,A,Jagnair (Kheragarh),Kheragarh (Jagnair)
498,MIGT9506,1,Agra,Bah,Jarar,Jarar#Agra,A,Jarar (Bah),Bah (Jarar)
499,QYIV8595,1,Agra,Kheragarh,Khairagarh,Khairagarh#Agra,A,Khairagarh (Kheragarh),Kheragarh (Khairagarh)
500,QWOL1406,1,Agra,Agra,Samsabad,Samsabad#Agra,A,Samsabad (Agra),Agra (Samsabad)
501,ZKST9326,1,Aligarh,Aligarh,Aligarh,Aligarh#Aligarh,A,Aligarh (Aligarh),Aligarh (Aligarh)
502,JFEO5715,1,Aligarh,Sandila Sub-District,Atrauli,Atrauli#Aligarh,A,Atrauli (Sandila Sub-District),Sandila Sub-District (Atrauli)
503,EXVG2777,1,Aligarh,Atrauli,Charra,Charra#Aligarh,A,Charra (Atrauli),Atrauli (Charra)
504,MGHN9536,1,Aligarh,Khair,Khair,Khair#Aligarh,A,Khair (Khair),Khair (Khair)
505,VWZG2644,1,Allahabad,Sirathu,Ajuha,Ajuha#Allahabad,A,Ajuha (Sirathu),Sirathu (Ajuha)
506,DSGS1199,1,Allahabad,Allahabad,Allahabad,Allahabad#Allahabad,A,Allahabad (Allahabad),Allahabad (Allahabad)
507,UBTB8974,1,Allahabad,Meja,Sirsa,Sirsa#Allahabad,A,Sirsa (Meja),Meja (Sirsa)
508,MCHL1836,1,Ambedkarnagar,Akbarpur,Akbarpur,Akbarpur#Ambedkarnagar,A,Akbarpur (Akbarpur),Akbarpur (Akbarpur)
509,UUBX8252,1,Ambedkarnagar,Tanda,Tanda,Tanda#Ambedkarnagar,A,Tanda (Tanda),Tanda (Tanda)
510,PEOX8689,1,Auraiya,Bidhuna,Achalda,Achalda#Auraiya,A,Achalda (Bidhuna),Bidhuna (Achalda)
511,ZEKA2949,1,Auraiya,Auraiya,Auraiya,Auraiya#Auraiya,A,Auraiya (Auraiya),Auraiya (Auraiya)
512,FVON1759,1,Auraiya,Auraiya Sub-District,Dibiapur,Dibiapur#Auraiya,A,Dibiapur (Auraiya Sub-District),Auraiya Sub-District (Dibiapur)
513,YYNI3637,1,Azamgarh,Azamgarh,Azamgarh,Azamgarh#Azamgarh,A,Azamgarh (Azamgarh),Azamgarh (Azamgarh)
514,SQHG5334,1,Badaun,Budaun,Badayoun,Badayoun#Badaun,A,Badayoun (Budaun),Budaun (Badayoun)
515,FGJX4186,1,Badaun,Budaun Sub-District,Ujhani,Ujhani#Badaun,A,Ujhani (Budaun Sub-District),Budaun Sub-District (Ujhani)
516,PQJM8333,1,Baghpat,Baraut,Baraut,Baraut#Baghpat,A,Baraut (Baraut),Baraut (Baraut)
517,ACRH9772,1,Baghpat,Khekada,Khekda,Khekda#Baghpat,A,Khekda (Khekada),Khekada (Khekda)
518,MXHO8821,1,Bahraich,Bahraich,Bahraich,Bahraich#Bahraich,A,Bahraich (Bahraich),Bahraich (Bahraich)
519,IQLU8322,1,Bahraich,Nanpara,Mihipurwa,Mihipurwa#Bahraich,A,Mihipurwa (Nanpara),Nanpara (Mihipurwa)
520,COIK6958,1,Bahraich,Nanpara,Naanpara,Naanpara#Bahraich,A,Naanpara (Nanpara),Nanpara (Naanpara)
521,TBGQ7809,1,Bahraich,Bahraich Sub-District,Risia,Risia#Bahraich,A,Risia (Bahraich Sub-District),Bahraich Sub-District (Risia)
522,HFHK8214,1,Ballia,Ballia Sub-District,Ballia,Ballia#Ballia,A,Ballia (Ballia Sub-District),Ballia Sub-District (Ballia)
523,XIKI7376,1,Balrampur,Balrampur,Balrampur,Balrampur#Balrampur,A,Balrampur (Balrampur),Balrampur (Balrampur)
524,VDFQ7404,1,Balrampur,Tulsipur,Panchpedwa,Panchpedwa#Balrampur,A,Panchpedwa (Tulsipur),Tulsipur (Panchpedwa)
525,OPXR8747,1,Balrampur,Tulsipur,Tulsipur,Tulsipur#Balrampur,A,Tulsipur (Tulsipur),Tulsipur (Tulsipur)
526,WSXN2335,1,Balrampur,Utraula,Utraula,Utraula#Balrampur,A,Utraula (Utraula),Utraula (Utraula)
527,FWSE2237,1,Banda,Atarra,Atarra,Atarra#Banda,A,Atarra (Atarra),Atarra (Atarra)
528,KTFL4447,1,Banda,Baberu,Baberu,Baberu#Banda,A,Baberu (Baberu),Baberu (Baberu)
529,AWCE5126,1,Banda,Banda,Banda,Banda#Banda,A,Banda (Banda),Banda (Banda)
530,UGVK7372,1,Barabanki,Barabanki,Barabanki,Barabanki#Barabanki,A,Barabanki (Barabanki),Barabanki (Barabanki)
531,ALGT7709,1,Barabanki,Rudauli,Rudauli,Rudauli#Barabanki,A,Rudauli (Rudauli),Rudauli (Rudauli)
532,ALUN7756,1,Barabanki,Nawabganj,Safdarganj,Safdarganj#Barabanki,A,Safdarganj (Nawabganj),Nawabganj (Safdarganj)
533,MEBP7154,1,Bareilly,Bareilly,Anwala,Anwala#Bareilly,A,Anwala (Bareilly),Bareilly (Anwala)
534,LOYN8911,1,Bareilly,Baheri,Bahedi,Bahedi#Bareilly,A,Bahedi (Baheri),Baheri (Bahedi)
535,SCOG8227,1,Bareilly,Bareilly,Bareilly,Bareilly#Bareilly,A,Bareilly (Bareilly),Bareilly (Bareilly)
536,UGHL9610,1,Basti,Basti,Basti,Basti#Basti,A,Basti (Basti),Basti (Basti)
537,FMCM8794,1,Bhadohi(Sant Ravi Nagar),Aurai,Gopiganj,Gopiganj#Bhadohi(Sant Ravi Nagar),A,Gopiganj (Aurai),Aurai (Gopiganj)
538,GTJG2394,1,Bijnor,Bijnor,Bijnaur,Bijnaur#Bijnor,A,Bijnaur (Bijnor),Bijnor (Bijnaur)
539,AHKK7882,1,Bijnor,Chandpur,Chaandpur,Chaandpur#Bijnor,A,Chaandpur (Chandpur),Chandpur (Chaandpur)
540,SVSC6487,1,Bijnor,Dhampur,Dhampur,Dhampur#Bijnor,A,Dhampur (Dhampur),Dhampur (Dhampur)
541,SXRA1656,1,Bijnor,Bijnor Sub-District,Haldaur,Haldaur#Bijnor,A,Haldaur (Bijnor Sub-District),Bijnor Sub-District (Haldaur)
542,XBBD6628,1,Bijnor,Najibabad Sub-District,Kiratpur,Kiratpur#Bijnor,A,Kiratpur (Najibabad Sub-District),Najibabad Sub-District (Kiratpur)
543,OXCQ9292,1,Bijnor,Nagina,Nagina,Nagina#Bijnor,A,Nagina (Nagina),Nagina (Nagina)
544,FMME4173,1,Bijnor,Najibabad,Najibabad,Najibabad#Bijnor,A,Najibabad (Najibabad),Najibabad (Najibabad)
545,LCJV2439,1,Bulandshahar,Anupshahr,Anoop Shahar,Anoop Shahar#Bulandshahar,A,Anoop Shahar (Anupshahr),Anupshahr (Anoop Shahar)
546,IUIY7404,1,Bulandshahar,Bulandshahr,Buland Shahr,Buland Shahr#Bulandshahar,A,Buland Shahr (Bulandshahr),Bulandshahr (Buland Shahr)
