,b,c,e,f,g,h,i,m,n
87,MUIQ6155,3,Karnal,Assandh,Asandh,Asandh#Karnal,A,Asandh (Assandh),Assandh (Asandh)
88,VYLC8800,3,Karnal,Gharaunda,Gharaunda,Gharaunda#Karnal,A,Gharaunda (Gharaunda),Gharaunda (Gharaunda)
89,SBJS3598,3,Karnal,Indri,Indri,Indri#Karnal,A,Indri (Indri),Indri (Indri)
90,TOKT1402,3,Karnal,Karnal Sub-District,Jundla,Jundla#Karnal,A,Jundla (Karnal Sub-District),Karnal Sub-District (Jundla)
91,OEEE3131,3,Karnal,Karnal,"New Grain Market(main), Karnal","New Grain Market(main), Karnal#Karnal",A,"New Grain Market(main), Karnal (Karnal)","Karnal (New Grain Market(main), Karnal)"
92,AWIN1733,3,Karnal,Nilokheri,Nilokheri,Nilokheri#Karnal,A,Nilokheri (Nilokheri),Nilokheri (Nilokheri)
93,OMSR2446,3,Karnal,Nilokheri Sub-District,Tarori,Tarori#Karnal,A,Tarori (Nilokheri Sub-District),Nilokheri Sub-District (Tarori)
94,GEDA9732,3,Kurukshetra,Thanesar Sub-District,Babain,Babain#Kurukshetra,A,Babain (Thanesar Sub-District),Thanesar Sub-District (Babain)
95,MRIG9177,3,Kurukshetra,Pehowa,Iamailabad,Iamailabad#Kurukshetra,A,Iamailabad (Pehowa),Pehowa (Iamailabad)
96,DFQO7514,3,Kurukshetra,Thanesar Sub-District,Ladwa,Ladwa#Kurukshetra,A,Ladwa (Thanesar Sub-District),Thanesar Sub-District (Ladwa)
97,QTGT1701,3,Kurukshetra,Pehowa,Pehowa,Pehowa#Kurukshetra,A,Pehowa (Pehowa),Pehowa (Pehowa)
98,ORWV3066,3,Kurukshetra,Shahabad,Shahabad,Shahabad#Kurukshetra,A,Shahabad (Shahabad),Shahabad (Shahabad)
99,YJIU9548,3,Kurukshetra,Kurukshetra,Thanesar,Thanesar#Kurukshetra,A,Thanesar (Kurukshetra),Kurukshetra (Thanesar)
100,EURN7416,3,Mahendragarh-Narnaul,Narnaul Sub-District,Ateli,Ateli#Mahendragarh-Narnaul,A,Ateli (Narnaul Sub-District),Narnaul Sub-District (Ateli)
101,YNVQ7403,3,Mahendragarh-Narnaul,Narnaul,Khanina,Khanina#Mahendragarh-Narnaul,A,Khanina (Narnaul),Narnaul (Khanina)
102,YDJP4488,3,Mahendragarh-Narnaul,Narnaul,Mohindergarh,Mohindergarh#Mahendragarh-Narnaul,A,Mohindergarh (Narnaul),Narnaul (Mohindergarh)
103,ZPNH7292,3,Mahendragarh-Narnaul,Narnaul,Narnaul,Narnaul#Mahendragarh-Narnaul,A,Narnaul (Narnaul),Narnaul (Narnaul)
104,JOKW7436,3,Mewat,Hathin,Hathin,Hathin#Mewat,A,Hathin (Hathin),Hathin (Hathin)
105,SSLC2299,3,Mewat,Nuh Sub-District,Nuh,Nuh#Mewat,A,Nuh (Nuh Sub-District),Nuh Sub-District (Nuh)
106,JKFV2975,3,Mewat,Punahana,Punhana,Punhana#Mewat,A,Punhana (Punahana),Punahana (Punhana)
107,WPXT6983,3,Mewat,Taoru,Taura,Taura#Mewat,A,Taura (Taoru),Taoru (Taura)
108,IZYA5283,3,Palwal,Hassanpur,Hassanpur,Hassanpur#Palwal,A,Hassanpur (Hassanpur),Hassanpur (Hassanpur)
109,RYFK4232,3,Palwal,Hodal,Hodal,Hodal#Palwal,A,Hodal (Hodal),Hodal (Hodal)
110,XDWS7410,3,Palwal,Palwal,Palwal,Palwal#Palwal,A,Palwal (Palwal),Palwal (Palwal)
111,SYXI5766,3,Panchkula,Panchkula Sub-District,Barwala,Barwala#Panchkula,A,Barwala (Panchkula Sub-District),Panchkula Sub-District (Barwala)
112,BIEP6037,3,Panchkula,Panchkula,Panchkula,Panchkula#Panchkula,A,Panchkula (Panchkula),Panchkula (Panchkula)
