70,WXEM1373,Haryana,Gurgaon,Sohna,Sohna,Sohna#Gurgaon,A,28.2486993,77.0635117,122103,Sohna (Sohna),Sohna (Sohna)
71,TYNE4541,Haryana,Hissar,Adampur,Adampur,Adampur#Hissar,A,29.2822533,75.4715692,125052,Adampur (Adampur),Adampur (Adampur)
72,NIBW8873,Haryana,Hissar,Barwala,Barwala(Hisar),Barwala(Hisar)#Hissar,A,29.3641876,75.9056753,125121,Barwala(Hisar) (Barwala),Barwala (Barwala(Hisar))
73,THLZ6116,Haryana,Hissar,Hansi,Hansi,Hansi#Hissar,A,29.0971845,75.9637413,125033,Hansi (Hansi),Hansi (Hansi)
74,MUNT7071,Haryana,Hissar,Hisar,Hissar,Hissar#Hissar,A,29.1491875,75.7216527,125001,Hissar (Hisar),Hisar (Hissar)
75,SJIW7545,Haryana,Hissar,Narnaund,Narnaund,Narnaund#Hissar,A,29.2212667,76.1406925,125039,Narnaund (Narnaund),Narnaund (Narnaund)
76,YUQV2398,Haryana,Hissar,Ratia,Rattia,Rattia#Hissar,A,29.6624,75.5637,125051,Rattia (Ratia),Ratia (Rattia)
77,XSLS5020,Haryana,Hissar,Hisar Sub-District,Uklana,Uklana#Hissar,A,29.5172343,75.8684214,125113,Uklana (Hisar Sub-District),Hisar Sub-District (Uklana)
78,QVJS5280,Haryana,Jhajar,Bahadurgarh,Bahadurgarh,Bahadurgarh#Jhajar,A,28.6924464,76.9239727,124507,Bahadurgarh (Bahadurgarh),Bahadurgarh (Bahadurgarh)
79,TVZL3207,Haryana,Jhajar,Jhajjar,Jhajjar,Jhajjar#Jhajar,A,28.6054875,76.6537749,124103,Jhajjar (Jhajjar),Jhajjar (Jhajjar)
80,GFXV6439,Haryana,Jind,Jind,Jind,Jind#Jind,A,29.3211153,76.3058328,126102,Jind (Jind),Jind (Jind)
81,ICYR6592,Haryana,Jind,Narwana,Narwana,Narwana#Jind,A,29.5910963,76.1145993,126116,Narwana (Narwana),Narwana (Narwana)
82,ROJQ4593,Haryana,Jind,Safidon,Safidon,Safidon#Jind,A,29.4060653,76.6614853,126112,Safidon (Safidon),Safidon (Safidon)
83,DRSX4450,Haryana,Kaithal,Guhla,Cheeka,Cheeka#Kaithal,A,30.0489695,76.3420439,136034,Cheeka (Guhla),Guhla (Cheeka)
84,NZBZ9001,Haryana,Kaithal,Fatehpur Pundri,Dhand,Dhand#Kaithal,A,29.8853701,76.6210539,136020,Dhand (Fatehpur Pundri),Fatehpur Pundri (Dhand)
